Nome do Produto;Descricao do Produto;Fabricante;Nome da Marca;Tipo;Custo Unitario;Preco Unitario;ID Produto;ID Subcategoria
Contoso Wireless Laser Mouse E50 Grey;Advanced 2.4 GHz cordless technology makes freedom, hyper-fast scrolling, laser, and cursor control on virtually any surface;Contoso, Ltd;Contoso;Econômico;10,69;20,96;873;22
Contoso Optical Wheel OEM PS/2 Mouse E60 Grey;PS/2 mouse, 6 feet mouse cable;Contoso, Ltd;Contoso;Econômico;6,63;13;879;22
Contoso Optical Wheel OEM PS/2 Mouse E60 Black;PS/2 mouse, 6 feet mouse cable;Contoso, Ltd;Contoso;Econômico;6,63;13;880;22
Contoso Optical Wheel OEM PS/2 Mouse E60 White;PS/2 mouse, 6 feet mouse cable;Contoso, Ltd;Contoso;Econômico;6,63;13;881;22
Contoso Optical Wheel OEM PS/2 Mouse E60 Silver;PS/2 mouse, 6 feet mouse cable;Contoso, Ltd;Contoso;Econômico;6,63;13;882;22
Contoso Bluetooth Notebook Mouse E70 Black;Transceiver-free wireless connection to your PC with Bluetooth Technology;Contoso, Ltd;Contoso;Econômico;25,49;50;887;22
Contoso Bluetooth Notebook Mouse E70 White;Transceiver-free wireless connection to your PC with Bluetooth Technology;Contoso, Ltd;Contoso;Econômico;25,49;50;888;22
Contoso Bluetooth Notebook Mouse E70 Silver;Transceiver-free wireless connection to your PC with Bluetooth Technology;Contoso, Ltd;Contoso;Econômico;25,49;50;889;22
Contoso Bluetooth Notebook Mouse E70 Grey;Transceiver-free wireless connection to your PC with Bluetooth Technology;Contoso, Ltd;Contoso;Econômico;25,49;50;890;22
Contoso ADSL Modem Splitter/Filter X 1 E100 Grey;ADSL modem splitter/filter X 1;Contoso, Ltd;Contoso;Econômico;9,13;17,9;833;22
Contoso ADSL Modem Splitter/Filter X 2 E200 Grey;ADSL modem splitter/filter X 2;Contoso, Ltd;Contoso;Econômico;11,68;22,9;834;22
Contoso ADSL Modem Splitter/Filter X 3 E300 Grey;ADSL modem splitter/filter X 3;Contoso, Ltd;Contoso;Econômico;26,97;52,9;835;22
Contoso USB Wave Multi-Media Keyboard E280 Grey;USB wave multimedia keyboard;Contoso, Ltd;Contoso;Econômico;8,11;15,9;836;22
