,IDCliente,Genero,Aposentado,Casado,Dependentes,MesesComoCliente,ServicoTelefone,MultiplasLinhas,ServicoInternet,ServicoSegurancaOnline,ServicoBackupOnline,ProtecaoEquipamento,ServicoSuporteTecnico,ServicoStreamingTV,ServicoFilmes,TipoContrato,FaturaDigital,FormaPagamento,ValorMensal,TotalGasto,Churn,Codigo
1869,7010-BRBUU,Masculino,0,Sim,Sim,72,Sim,Sim,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,2 anos,Nao,CartaoCredito,24.1,1734.65,Nao,
4528,9688-YGXVR,Feminino,0,Nao,Nao,44,Sim,Nao,Fibra,Nao,Sim,Sim,Nao,Sim,Nao,Mensal,Sim,CartaoCredito,88.15,3973.2,Nao,
6344,9286-DOJGF,Feminino,1,Sim,Nao,38,Sim,Sim,Fibra,Nao,Nao,Nao,Nao,Nao,Nao,Mensal,Sim,DebitoAutomatico,74.95,2869.85,Sim,
6739,6994-KERXL,Masculino,0,Nao,Nao,4,Sim,Nao,DSL,Nao,Nao,Nao,Nao,Nao,Sim,Mensal,Sim,BoletoEletronico,55.9,238.5,Nao,
432,2181-UAESM,Masculino,0,Nao,Nao,2,Sim,Nao,DSL,Sim,Nao,Sim,Nao,Nao,Nao,Mensal,Nao,BoletoEletronico,53.45,119.5,Nao,
2215,4312-GVYNH,Feminino,0,Sim,Nao,70,Nao,SemTelefone,DSL,Sim,Nao,Sim,Sim,Nao,Sim,2 anos,Sim,DebitoAutomatico,49.85,3370.2,Nao,
5260,2495-KZNFB,Feminino,0,Nao,Nao,33,Sim,Sim,Fibra,Sim,Nao,Nao,Nao,Nao,Sim,Mensal,Sim,BoletoEletronico,90.65,2989.6,Nao,
6001,4367-NHWMM,Feminino,0,Nao,Nao,1,Nao,SemTelefone,DSL,Nao,Nao,Nao,Nao,Nao,Nao,Mensal,Sim,BoletoImpresso,24.9,24.9,Nao,
1480,8898-KASCD,Masculino,0,Nao,Nao,39,Nao,SemTelefone,DSL,Nao,Nao,Sim,Sim,Nao,Nao,Anual,Nao,BoletoImpresso,35.55,1309.15,Nao,
5137,8016-NCFVO,Masculino,1,Nao,Nao,55,Sim,Sim,Fibra,Sim,Sim,Sim,Sim,Sim,Sim,Mensal,Sim,BoletoEletronico,116.5,6382.55,Nao,
3169,4578-PHJYZ,Masculino,0,Sim,Sim,52,Sim,Nao,DSL,Nao,Sim,Sim,Sim,Sim,Nao,Anual,Sim,BoletoEletronico,68.75,3482.85,Nao,
4653,2091-MJTFX,Feminino,0,Sim,Sim,30,Nao,SemTelefone,DSL,Nao,Nao,Nao,Sim,Sim,Sim,Mensal,Nao,CartaoCredito,51.2,1561.5,Sim,
2850,2277-DJJDL,Masculino,1,Sim,Nao,60,Sim,Sim,Fibra,Nao,Nao,Nao,Sim,Sim,Sim,Mensal,Sim,BoletoEletronico,99.0,6017.9,Nao,
1760,2511-MORQY,Masculino,0,Sim,Sim,50,Sim,Sim,DSL,Nao,Nao,Sim,Nao,Nao,Nao,Anual,Nao,DebitoAutomatico,54.9,2614.1,Nao,
604,2731-GJRDG,Feminino,0,Nao,Nao,32,Sim,Sim,Fibra,Sim,Nao,Sim,Sim,Sim,Sim,Anual,Sim,DebitoAutomatico,109.55,3608,Nao,
2157,1784-EZDKJ,Masculino,0,Sim,Nao,51,Sim,Sim,Fibra,Nao,Sim,Sim,Nao,Sim,Sim,Anual,Sim,DebitoAutomatico,106.8,5498.8,Nao,
3132,2468-SJFLM,Masculino,0,Nao,Nao,1,Sim,Nao,Fibra,Nao,Nao,Nao,Sim,Nao,Nao,Mensal,Sim,BoletoImpresso,74.3,74.3,Nao,
6765,5115-SQAAU,Feminino,0,Sim,,69,Sim,Sim,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,2 anos,Sim,DebitoAutomatico,25.6,1673.4,Nao,
6508,8708-XPXHZ,Feminino,0,Sim,Sim,42,Sim,Sim,Fibra,Nao,Nao,Nao,Nao,Sim,Sim,Mensal,Sim,BoletoEletronico,94.2,4186.3,Sim,
5636,0601-WZHJF,Masculino,0,Sim,Nao,14,Nao,SemTelefone,DSL,Nao,Nao,Nao,Nao,Sim,Sim,Mensal,Nao,BoletoEletronico,46.35,667.7,Sim,
4693,0463-TXOAK,Masculino,0,Nao,Sim,52,Sim,Sim,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,2 anos,Nao,CartaoCredito,25.6,1334.5,Nao,
3393,4683-WYDOU,Masculino,0,Sim,Nao,62,Sim,Sim,Fibra,Nao,Nao,Sim,Sim,Sim,Sim,2 anos,Sim,DebitoAutomatico,107.6,6912.7,Nao,
4201,1166-PQLGG,Feminino,0,Sim,Sim,72,Sim,Nao,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,2 anos,Nao,DebitoAutomatico,19.55,1463.45,Nao,
3550,0963-ZBDRN,Masculino,0,Nao,Nao,32,Sim,Nao,Fibra,Nao,Nao,Nao,Sim,Sim,Sim,Mensal,Sim,BoletoEletronico,96.2,3183.4,Sim,
5782,4871-JTKJF,Feminino,1,Nao,Nao,1,Sim,Nao,Fibra,Nao,Nao,Nao,Nao,Nao,Nao,Mensal,Sim,BoletoEletronico,69.65,69.65,Sim,
5419,7173-TETGO,Feminino,1,Sim,Nao,72,Sim,Sim,Fibra,Sim,Nao,Nao,Nao,Nao,Nao,2 anos,Nao,DebitoAutomatico,78.5,5602.25,Nao,
1891,4193-ORFCL,Feminino,1,Nao,Nao,1,Sim,Nao,DSL,Nao,Nao,Nao,Nao,Nao,Nao,Mensal,Nao,BoletoImpresso,45.1,45.1,Sim,
4275,2692-PFYTJ,Feminino,0,Nao,Nao,1,Sim,Sim,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,Mensal,Sim,BoletoImpresso,25.75,25.75,Nao,
4738,2369-UAPKZ,Masculino,0,Nao,Nao,5,Sim,Sim,Fibra,Nao,Sim,Sim,Nao,Sim,Sim,Mensal,Nao,BoletoImpresso,104.1,541.9,Sim,
1545,5193-QLVZB,Masculino,0,Nao,Nao,63,Sim,Sim,Fibra,Nao,Sim,Sim,Nao,Sim,Sim,2 anos,Sim,DebitoAutomatico,104.75,6536.5,Nao,
904,0379-DJQHR,Masculino,0,Sim,Sim,67,Sim,Nao,DSL,Sim,Sim,Sim,Nao,Sim,Sim,2 anos,Nao,CartaoCredito,81.35,5398.6,Nao,
6602,4657-FWVFY,Feminino,0,Sim,Sim,40,Sim,Sim,Fibra,Nao,Sim,Sim,Nao,Sim,Nao,Mensal,Sim,CartaoCredito,96.35,3915.4,Nao,
6123,0623-EJQEG,Masculino,0,Nao,Nao,65,Sim,Sim,Fibra,Sim,Nao,Nao,Sim,Nao,Sim,Anual,Nao,BoletoEletronico,93.55,6069.25,Nao,
4999,1699-TLDLZ,Feminino,0,Sim,Sim,16,Sim,Nao,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,2 anos,Nao,BoletoImpresso,19.7,301.55,Nao,
4879,4501-UYKBC,Feminino,1,Nao,Nao,46,Sim,Sim,DSL,Nao,Nao,Sim,Sim,Nao,Sim,Anual,Sim,CartaoCredito,69.1,3255.35,Nao,
1703,8158-WPEZG,Masculino,0,Nao,Nao,11,Nao,SemTelefone,DSL,Nao,Sim,Nao,Sim,Nao,Nao,Mensal,Sim,BoletoEletronico,35.65,425.1,Nao,
4257,9732-EQMWY,Feminino,0,Sim,Nao,49,Sim,Nao,Fibra,Nao,Sim,Sim,Nao,Sim,Sim,Mensal,Nao,BoletoEletronico,99.4,5025,Nao,
3870,1099-BTKWT,Feminino,0,Sim,Nao,68,Nao,SemTelefone,DSL,Sim,Nao,Sim,Nao,Sim,Sim,Anual,Sim,BoletoEletronico,54.4,3723.65,Nao,
5038,4815-TUMEQ,Feminino,0,Nao,Nao,10,Sim,Nao,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,Anual,Sim,BoletoImpresso,19.3,185.2,Nao,
1720,6407-UTSLV,Feminino,1,Nao,Nao,2,Sim,Nao,Fibra,Nao,Sim,Nao,Nao,Sim,Nao,Mensal,Sim,DebitoAutomatico,83.8,163.7,Nao,
4776,0018-NYROU,Feminino,0,Sim,Nao,5,Sim,Nao,Fibra,Nao,Nao,Nao,Nao,Nao,Nao,Mensal,Sim,BoletoEletronico,68.95,351.5,Nao,
